MAG_AUTO_F444W,MAGERR_AUTO_F444W,KRON_RADIUS_F444W,PETRO_RADIUS_F444W,ALPHA_J2000_F444W,DELTA_J2000_F444W,A_IMAGE_F444W,B_IMAGE_F444W,THETA_IMAGE_F444W,ELONGATION_F444W,ELLIPTICITY_F444W,CLASS_STAR_F444W,FLUX_RADIUS_F444W,idx42,d2d42,MAG_AUTO_F277W,MAGERR_AUTO_F277W,KRON_RADIUS_F277W,PETRO_RADIUS_F277W,ALPHA_J2000_F277W,DELTA_J2000_F277W,A_IMAGE_F277W,B_IMAGE_F277W,THETA_IMAGE_F277W,ELONGATION_F277W,ELLIPTICITY_F277W,CLASS_STAR_F277W,FLUX_RADIUS_F277W,idx415,d2d415,MAG_AUTO_F150W,MAGERR_AUTO_F150W,KRON_RADIUS_F150W,PETRO_RADIUS_F150W,ALPHA_J2000_F150W,DELTA_J2000_F150W,A_IMAGE_F150W,B_IMAGE_F150W,THETA_IMAGE_F150W,ELONGATION_F150W,ELLIPTICITY_F150W,CLASS_STAR_F150W,FLUX_RADIUS_F150W,idx411,d2d411,MAG_AUTO_F115W,MAGERR_AUTO_F115W,KRON_RADIUS_F115W,PETRO_RADIUS_F115W,ALPHA_J2000_F115W,DELTA_J2000_F115W,A_IMAGE_F115W,B_IMAGE_F115W,THETA_IMAGE_F115W,ELONGATION_F115W,ELLIPTICITY_F115W,CLASS_STAR_F115W,FLUX_RADIUS_F115W
25.897801182619336,0.0249187428622819,4.05,5.28,149.87655720956633,1.9680797521457063,2.389,2.24,-60.71,1.066,0.062,0.978,2.916,214977,0.0061983097234945,27.94410108198792,0.1240090144303524,7.14,10.56,149.87655768265748,1.968081407706367,1.343,1.035,12.63,1.297,0.229,0.014,3.435,214396,0.0205454818925492,27.1796828627969,0.0795228883172582,3.5,3.96,149.87655435620425,1.9680846956940392,1.61,0.925,-9.59,1.741,0.426,0.042,1.649,143297,0.006189722576055,26.568537475868222,0.05817409218927,3.5,4.62,149.87655879684382,1.9680790890123545,1.393,1.092,-83.91,1.275,0.216,0.041,1.333
25.685217548981548,0.0218430802123115,4.49,4.62,149.97098170237783,1.9479902824543056,2.348,2.143,68.65,1.096,0.088,0.977,2.784,270668,0.0073219771650237,28.28,-1.0,3.5,6.6,149.97098185207244,1.9479882540816509,1.338,1.137,87.41,1.177,0.15,0.465,1.924,217315,0.008292656993565,27.557242719158022,0.0874889037097637,3.5,4.62,149.97098094570146,1.947988106612484,1.008,0.878,89.61,1.148,0.129,0.859,1.016,197269,0.0110973420458108,26.61784869553587,0.0568631002354542,3.5,3.96,149.97097899944333,1.947988797537182,1.16,1.113,-80.21,1.042,0.041,0.382,1.046
23.513975659256005,0.0034087736869849,3.5,3.5,149.94777739094764,2.047442868936012,3.458,3.147,87.94,1.099,0.09,0.985,2.935,241695,0.0050284937338121,24.81857958154533,0.0071704815230656,3.5,3.96,149.94777660223374,2.0474440220991914,2.621,2.351,81.91,1.115,0.103,0.946,2.347,235114,0.0033707892750346,24.078294501708665,0.0067027214966207,3.5,3.5,149.94777645582658,2.047442810804099,1.94,1.557,-60.87,1.246,0.198,0.974,1.344,167998,0.0038518959480222,23.836205285236307,0.0077124291784317,3.5,3.5,149.94777664989593,2.0474436411933987,2.385,1.649,-72.61,1.446,0.308,0.089,1.372
26.141069383266107,0.0355274984922361,4.94,5.28,149.87757796839557,2.077665151247024,2.251,2.095,-76.11,1.075,0.069,0.975,3.057,242710,0.0214361296415188,28.054990111217304,0.0990570748209561,4.39,7.26,149.8775784330181,2.077659214897376,1.547,1.232,-45.8,1.256,0.204,0.514,2.306,236052,0.0076611156746148,27.35645826064147,0.0862324379660788,3.5,5.94,149.8775758391215,2.0776651813838933,1.192,1.025,-26.92,1.163,0.14,0.682,1.304,168972,0.0158346721191886,26.74066873931321,0.0829902783083108,4.48,3.96,149.8775818965858,2.077667135329045,1.195,1.111,-45.11,1.076,0.07,0.346,1.144
22.875903967866243,0.0019813865783368,3.5,3.5,149.7769783338399,1.9438679369374463,3.551,3.354,88.89,1.059,0.055,0.986,2.986,149373,0.0016911005069051,25.749328697738868,0.0148633151068124,3.5,4.62,149.77697824825646,1.9438674750401688,2.229,2.115,-80.99,1.054,0.051,0.935,2.256,44884,0.0064947810012072,24.9224599361738,0.0125032973038454,3.5,3.96,149.77697867671344,1.9438661656749403,1.555,1.402,51.33,1.11,0.099,0.938,1.29,51614,0.0066741937608261,24.28791894008084,0.0089584337011082,3.5,3.5,149.77697745712106,1.9438663031222696,1.58,1.5,20.32,1.053,0.051,0.849,1.239
25.867625826825325,0.025197072845226,4.22,4.62,149.7932678830811,2.150532635902282,2.52,2.076,57.92,1.214,0.176,0.977,2.708,362640,0.0063526519674679,27.20568104532512,0.0662051734941333,5.08,5.28,149.79326683681748,2.150531214361864,1.757,1.706,89.8,1.03,0.029,0.34,2.396,289178,0.0105166656443098,26.476911144418107,0.0600592793772458,4.42,3.96,149.79327049842144,2.1505339411214286,1.345,1.233,-22.21,1.091,0.083,0.414,1.401,8111,0.0114276192151503,25.97689982032448,0.0400240966494367,3.68,4.62,149.79327085409673,2.150531512549417,1.384,1.264,87.46,1.094,0.086,0.02,1.365
26.800365006080373,0.0538933451723754,4.28,5.28,149.8671015631098,2.1921255173165326,2.355,1.76,69.92,1.338,0.253,0.967,2.717,378058,0.0129499058299852,28.28,-1.0,3.93,5.94,149.86709975096556,2.1921224091406346,1.447,1.136,-41.73,1.274,0.215,0.009,2.199,298737,0.0176795333821202,27.247983570246426,0.0957291850991994,3.5,3.5,149.86709741065633,2.192128144120193,1.538,1.057,29.36,1.455,0.313,0.211,1.849,22513,0.0071543860781083,26.97786244245438,0.0813343582579866,3.5,5.28,149.8671035111325,2.1921259176140104,1.138,1.125,75.88,1.012,0.012,0.251,1.279
24.651252760880443,0.0088201325808455,3.5,3.96,149.8202867866695,2.2452910822686367,2.97,2.906,-35.3,1.022,0.021,0.973,2.899,386657,0.001671230475975,26.726137012676013,0.035215824066243,3.67,7.26,149.82028713419362,2.2452907741737,2.107,1.832,-61.59,1.15,0.13,0.764,2.413,304693,0.011561879632538,26.060322613944763,0.0340669428870345,3.72,3.5,149.82028541747724,2.2452881766227533,1.301,1.202,72.07,1.083,0.076,1.0,1.132,29853,0.004963318692354,25.2611142637589,0.0211117345579285,3.57,3.5,149.82028623215726,2.245289819810393,1.484,1.316,58.74,1.128,0.113,0.985,1.233
26.714335912353903,0.039788442381874,3.5,5.28,149.7803851356322,2.282364398759649,2.084,1.885,47.04,1.106,0.096,0.987,2.394,392615,0.01036462602404,28.00140603881443,0.0813198423090653,3.5,5.28,149.78038229433895,2.2823648771513576,1.663,1.363,-2.83,1.22,0.18,0.008,2.112,308623,0.022382300776787,27.572200411052,0.1147184438535213,3.96,4.62,149.78038555658503,2.282370601821055,1.085,0.913,-63.09,1.188,0.158,0.927,1.142,34240,0.0209733652506581,26.62011614128547,0.0801625175692467,4.44,3.96,149.78038912581272,2.2823686467270194,1.356,1.09,3.66,1.244,0.196,0.865,1.32
25.76148015755341,0.0178786480912518,3.5,4.62,150.07146682108572,1.827352837456184,2.267,2.107,47.47,1.076,0.07,0.968,2.446,252236,0.0226597094716121,27.612628561837223,0.0621338864850258,3.5,5.94,150.0714606838641,1.827351426135722,2.09,1.308,25.21,1.598,0.374,0.968,2.174,321285,0.0083251401713666,26.624803004603567,0.0498196200550395,3.5,3.96,150.07146473021544,1.827353827679974,1.29,1.17,12.65,1.103,0.093,0.863,1.281,180428,0.0190537127111508,26.01852818926416,0.0365316435015966,3.5,4.62,150.07146285565136,1.8273563451579515,1.403,1.162,87.29,1.207,0.172,0.906,1.25
24.267190468857265,0.006462200076499,3.56,3.96,150.1269541695279,1.8148454841170136,3.33,2.845,81.49,1.171,0.146,0.974,2.96,42759,0.0113674995771721,27.919965615427024,0.0729807850755719,3.5,5.28,150.12695167758054,1.814843543212783,1.514,1.374,20.08,1.102,0.093,0.932,1.879,4769,0.0080835363616074,27.06463311854133,0.0686970625392228,3.5,3.96,150.12695259776768,1.814843879751412,1.18,1.052,-51.17,1.122,0.109,0.929,1.204,279945,0.0145146143013307,26.312792144091592,0.050249607510611,3.7,5.28,150.12695155336974,1.8148424151932323,1.337,1.168,-88.61,1.145,0.126,0.011,1.341
25.854295893466183,0.022194790756442,3.78,4.62,150.152365678417,1.8468808463319235,2.312,2.282,-42.12,1.013,0.013,0.977,2.823,52703,0.0206319599547664,27.68043878585483,0.1133945131767188,6.04,9.9,150.15236000062026,1.8468816473410667,2.345,1.132,-10.83,2.07,0.517,0.048,3.847,11962,0.0149344610640927,27.12020714840426,0.0800102187747413,3.5,5.28,150.1523644440181,1.8468848070861568,1.384,1.124,-57.66,1.231,0.188,0.858,1.417,288154,0.0085914025659699,26.40557782061147,0.05634283394246,3.75,3.5,150.15236552360622,1.8468832278113312,1.368,1.151,27.23,1.189,0.159,0.95,1.228
25.75421053853364,0.0194631820131734,3.55,4.62,150.19190546551158,1.8839235040528928,2.523,2.233,-67.47,1.13,0.115,0.978,2.687,64162,0.0334615209670041,28.21767575746292,0.092994420203479,3.5,6.6,150.1918966669028,1.8839265144850592,1.901,1.05,-19.34,1.811,0.448,0.002,2.719,21907,0.0113743180309986,27.290330132105392,0.1133340109333464,4.91,5.28,150.19190401080317,1.8839206989222503,1.19,0.952,-11.81,1.25,0.2,0.548,1.366,300531,0.0097363971390436,26.484995758995176,0.0726569116161164,4.56,5.94,150.19190814772904,1.8839238619651644,1.405,1.108,27.33,1.268,0.212,0.026,1.414
